date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:44	122280/122280	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/blog.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/blog.jpg	(from http://getbootstrap.com/getting-started/)
14:56:47	5855/5855	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/non-responsive/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/non-responsive/index.html	(from http://getbootstrap.com/getting-started/)
14:56:47	39249/39249	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/sticky-footer-navbar.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/sticky-footer-navbar.jpg	(from http://getbootstrap.com/getting-started/)
14:56:47	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Mar%202016%2007:56:33%20GMT	http://getbootstrap.com/migration	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/migration.2b.delayed	(from http://getbootstrap.com/getting-started/)
14:56:49	7339/7339	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/offcanvas/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/offcanvas/index.html	(from http://getbootstrap.com/getting-started/)
14:56:50	18574/18574	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/migration/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/migration/index.html	(from http://getbootstrap.com/getting-started/)
14:56:51	20229/20229	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/browser-bugs/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/browser-bugs/index.html	(from http://getbootstrap.com/getting-started/)
14:56:51	4219/4219	---MC-	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2007:56:36%20GMT	http://getbootstrap.com/cdn-cgi/l/email-protection	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/cdn-cgi/l/email-protection.html	(from http://getbootstrap.com/css/)
14:56:52	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Mar%202016%2007:56:37%20GMT	http://getbootstrap.com/components	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/components.2d.delayed	(from http://getbootstrap.com/css/)
14:56:52	61060/61060	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/non-responsive.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/non-responsive.jpg	(from http://getbootstrap.com/getting-started/)
